DateID;Year;Month;WeekDay;Date
44259;2021;Mar;Thu;03/04/2021
43836;2020;Jan;Mon;01/06/2020
43892;2020;Mar;Mon;03/02/2020
44208;2021;Jan;Tue;01/12/2021
44056;2020;Aug;Thu;08/13/2020
44096;2020;Sep;Tue;09/22/2020
43900;2020;Mar;Tue;03/10/2020
43866;2020;Feb;Wed;02/05/2020
43994;2020;Jun;Fri;06/12/2020
44343;2021;May;Thu;05/27/2021
44149;2020;Nov;Sat;11/14/2020
43923;2020;Apr;Thu;04/02/2020
44388;2021;Jul;Sun;07/11/2021
43847;2020;Jan;Fri;01/17/2020
43904;2020;Mar;Sat;03/14/2020
43920;2020;Mar;Mon;03/30/2020
43877;2020;Feb;Sun;02/16/2020
44070;2020;Aug;Thu;08/27/2020
44256;2021;Mar;Mon;03/01/2021
44374;2021;Jun;Sun;06/27/2021
44281;2021;Mar;Fri;03/26/2021
43855;2020;Jan;Sat;01/25/2020
44201;2021;Jan;Tue;01/05/2021
43935;2020;Apr;Tue;04/14/2020
44219;2021;Jan;Sat;01/23/2021
44004;2020;Jun;Mon;06/22/2020
44117;2020;Oct;Tue;10/13/2020
44212;2021;Jan;Sat;01/16/2021
44199;2021;Jan;Sun;01/03/2021
44261;2021;Mar;Sat;03/06/2021
44342;2021;May;Wed;05/26/2021
43966;2020;May;Fri;05/15/2020
44279;2021;Mar;Wed;03/24/2021
44361;2021;Jun;Mon;06/14/2021
44389;2021;Jul;Mon;07/12/2021
44378;2021;Jul;Thu;07/01/2021
44230;2021;Feb;Wed;02/03/2021
44296;2021;Apr;Sat;04/10/2021
44306;2021;Apr;Tue;04/20/2021
44274;2021;Mar;Fri;03/19/2021
44355;2021;Jun;Tue;06/08/2021
43944;2020;Apr;Thu;04/23/2020
44321;2021;May;Wed;05/05/2021
44121;2020;Oct;Sat;10/17/2020
44143;2020;Nov;Sun;11/08/2020
44387;2021;Jul;Sat;07/10/2021
44352;2021;Jun;Sat;06/05/2021
43989;2020;Jun;Sun;06/07/2020
44255;2021;Feb;Sun;02/28/2021
44185;2020;Dez;Sun;12/20/2020
44017;2020;Jul;Sun;07/05/2020
44176;2020;Dez;Fri;12/11/2020
43984;2020;Jun;Tue;06/02/2020
44360;2021;Jun;Sun;06/13/2021
44140;2020;Nov;Thu;11/05/2020
44135;2020;Oct;Sat;10/31/2020
44340;2021;May;Mon;05/24/2021
44014;2020;Jul;Thu;07/02/2020
43845;2020;Jan;Wed;01/15/2020
44270;2021;Mar;Mon;03/15/2021
44134;2020;Oct;Fri;10/30/2020
43993;2020;Jun;Thu;06/11/2020
44346;2021;May;Sun;05/30/2021
44075;2020;Sep;Tue;09/01/2020
44130;2020;Oct;Mon;10/26/2020
43971;2020;May;Wed;05/20/2020
44395;2021;Jul;Sun;07/18/2021
44407;2021;Jul;Fri;07/30/2021
44054;2020;Aug;Tue;08/11/2020
43835;2020;Jan;Sun;01/05/2020
43852;2020;Jan;Wed;01/22/2020
43945;2020;Apr;Fri;04/24/2020
43969;2020;May;Mon;05/18/2020
44290;2021;Apr;Sun;04/04/2021
44241;2021;Feb;Sun;02/14/2021
44326;2021;May;Mon;05/10/2021
44272;2021;Mar;Wed;03/17/2021
44282;2021;Mar;Sat;03/27/2021
44202;2021;Jan;Wed;01/06/2021
44300;2021;Apr;Wed;04/14/2021
43851;2020;Jan;Tue;01/21/2020
44238;2021;Feb;Thu;02/11/2021
44235;2021;Feb;Mon;02/08/2021
44147;2020;Nov;Thu;11/12/2020
43970;2020;May;Tue;05/19/2020
44271;2021;Mar;Tue;03/16/2021
43873;2020;Feb;Wed;02/12/2020
43911;2020;Mar;Sat;03/21/2020
43924;2020;Apr;Fri;04/03/2020
43875;2020;Feb;Fri;02/14/2020
44324;2021;May;Sat;05/08/2021
44369;2021;Jun;Tue;06/22/2021
43857;2020;Jan;Mon;01/27/2020
44137;2020;Nov;Mon;11/02/2020
43870;2020;Feb;Sun;02/09/2020
43837;2020;Jan;Tue;01/07/2020
44322;2021;May;Thu;05/06/2021
43946;2020;Apr;Sat;04/25/2020
43959;2020;May;Fri;05/08/2020
44297;2021;Apr;Sun;04/11/2021
44189;2020;Dez;Thu;12/24/2020
43990;2020;Jun;Mon;06/08/2020
44049;2020;Aug;Thu;08/06/2020
43977;2020;May;Tue;05/26/2020
44083;2020;Sep;Wed;09/09/2020
43956;2020;May;Tue;05/05/2020
44295;2021;Apr;Fri;04/09/2021
43849;2020;Jan;Sun;01/19/2020
44254;2021;Feb;Sat;02/27/2021
43915;2020;Mar;Wed;03/25/2020
44354;2021;Jun;Mon;06/07/2021
43903;2020;Mar;Fri;03/13/2020
44391;2021;Jul;Wed;07/14/2021
44264;2021;Mar;Tue;03/09/2021
44207;2021;Jan;Mon;01/11/2021
44380;2021;Jul;Sat;07/03/2021
44186;2020;Dez;Mon;12/21/2020
44105;2020;Oct;Thu;10/01/2020
44370;2021;Jun;Wed;06/23/2021
44273;2021;Mar;Thu;03/18/2021
43951;2020;Apr;Thu;04/30/2020
44344;2021;May;Fri;05/28/2021
43962;2020;May;Mon;05/11/2020
43887;2020;Feb;Wed;02/26/2020
44191;2020;Dez;Sat;12/26/2020
44034;2020;Jul;Wed;07/22/2020
43869;2020;Feb;Sat;02/08/2020
43885;2020;Feb;Mon;02/24/2020
44211;2021;Jan;Fri;01/15/2021
43964;2020;May;Wed;05/13/2020
44119;2020;Oct;Thu;10/15/2020
44402;2021;Jul;Sun;07/25/2021
43874;2020;Feb;Thu;02/13/2020
44045;2020;Aug;Sun;08/02/2020
44106;2020;Oct;Fri;10/02/2020
44173;2020;Dez;Tue;12/08/2020
44120;2020;Oct;Fri;10/16/2020
44195;2020;Dez;Wed;12/30/2020
44046;2020;Aug;Mon;08/03/2020
43934;2020;Apr;Mon;04/13/2020
43882;2020;Feb;Fri;02/21/2020
43995;2020;Jun;Sat;06/13/2020
44252;2021;Feb;Thu;02/25/2021
43976;2020;May;Mon;05/25/2020
44163;2020;Nov;Sat;11/28/2020
44269;2021;Mar;Sun;03/14/2021
44379;2021;Jul;Fri;07/02/2021
44118;2020;Oct;Wed;10/14/2020
44015;2020;Jul;Fri;07/03/2020
44154;2020;Nov;Thu;11/19/2020
44021;2020;Jul;Thu;07/09/2020
44057;2020;Aug;Fri;08/14/2020
43987;2020;Jun;Fri;06/05/2020
43932;2020;Apr;Sat;04/11/2020
44331;2021;May;Sat;05/15/2021
44048;2020;Aug;Wed;08/05/2020
44262;2021;Mar;Sun;03/07/2021
44188;2020;Dez;Wed;12/23/2020
43928;2020;Apr;Tue;04/07/2020
43991;2020;Jun;Tue;06/09/2020
44247;2021;Feb;Sat;02/20/2021
44068;2020;Aug;Tue;08/25/2020
44018;2020;Jul;Mon;07/06/2020
44318;2021;May;Sun;05/02/2021
44088;2020;Sep;Mon;09/14/2020
44016;2020;Jul;Sat;07/04/2020
43950;2020;Apr;Wed;04/29/2020
44002;2020;Jun;Sat;06/20/2020
43861;2020;Jan;Fri;01/31/2020
44289;2021;Apr;Sat;04/03/2021
44205;2021;Jan;Sat;01/09/2021
44390;2021;Jul;Tue;07/13/2021
44157;2020;Nov;Sun;11/22/2020
44136;2020;Nov;Sun;11/01/2020
44099;2020;Sep;Fri;09/25/2020
44309;2021;Apr;Fri;04/23/2021
44114;2020;Oct;Sat;10/10/2020
44233;2021;Feb;Sat;02/06/2021
44285;2021;Mar;Tue;03/30/2021
44179;2020;Dez;Mon;12/14/2020
43879;2020;Feb;Tue;02/18/2020
44196;2020;Dez;Thu;12/31/2020
44092;2020;Sep;Fri;09/18/2020
44393;2021;Jul;Fri;07/16/2021
44204;2021;Jan;Fri;01/08/2021
44178;2020;Dez;Sun;12/13/2020
44224;2021;Jan;Thu;01/28/2021
44156;2020;Nov;Sat;11/21/2020
44112;2020;Oct;Thu;10/08/2020
44341;2021;May;Tue;05/25/2021
44129;2020;Oct;Sun;10/25/2020
44060;2020;Aug;Mon;08/17/2020
44051;2020;Aug;Sat;08/08/2020
44076;2020;Sep;Wed;09/02/2020
44164;2020;Nov;Sun;11/29/2020
44365;2021;Jun;Fri;06/18/2021
44041;2020;Jul;Wed;07/29/2020
43947;2020;Apr;Sun;04/26/2020
44298;2021;Apr;Mon;04/12/2021
44405;2021;Jul;Wed;07/28/2021
43898;2020;Mar;Sun;03/08/2020
44310;2021;Apr;Sat;04/24/2021
43858;2020;Jan;Tue;01/28/2020
44245;2021;Feb;Thu;02/18/2021
43862;2020;Feb;Sat;02/01/2020
44231;2021;Feb;Thu;02/04/2021
44198;2021;Jan;Sat;01/02/2021
43996;2020;Jun;Sun;06/14/2020
44175;2020;Dez;Thu;12/10/2020
44243;2021;Feb;Tue;02/16/2021
44382;2021;Jul;Mon;07/05/2021
44100;2020;Sep;Sat;09/26/2020
44052;2020;Aug;Sun;08/09/2020
44116;2020;Oct;Mon;10/12/2020
43881;2020;Feb;Thu;02/20/2020
43919;2020;Mar;Sun;03/29/2020
44251;2021;Feb;Wed;02/24/2021
43974;2020;May;Sat;05/23/2020
44003;2020;Jun;Sun;06/21/2020
44080;2020;Sep;Sun;09/06/2020
44169;2020;Dez;Fri;12/04/2020
44067;2020;Aug;Mon;08/24/2020
44249;2021;Feb;Mon;02/22/2021
44152;2020;Nov;Tue;11/17/2020
43975;2020;May;Sun;05/24/2020
44146;2020;Nov;Wed;11/11/2020
44215;2021;Jan;Tue;01/19/2021
43912;2020;Mar;Sun;03/22/2020
44010;2020;Jun;Sun;06/28/2020
44089;2020;Sep;Tue;09/15/2020
44403;2021;Jul;Mon;07/26/2021
44333;2021;May;Mon;05/17/2021
43957;2020;May;Wed;05/06/2020
44317;2021;May;Sat;05/01/2021
44223;2021;Jan;Wed;01/27/2021
44081;2020;Sep;Mon;09/07/2020
44248;2021;Feb;Sun;02/21/2021
44042;2020;Jul;Thu;07/30/2020
44122;2020;Oct;Sun;10/18/2020
44104;2020;Sep;Wed;09/30/2020
44337;2021;May;Fri;05/21/2021
44087;2020;Sep;Sun;09/13/2020
44124;2020;Oct;Tue;10/20/2020
43907;2020;Mar;Tue;03/17/2020
44227;2021;Jan;Sun;01/31/2021
43992;2020;Jun;Wed;06/10/2020
44055;2020;Aug;Wed;08/12/2020
43910;2020;Mar;Fri;03/20/2020
43939;2020;Apr;Sat;04/18/2020
44358;2021;Jun;Fri;06/11/2021
43856;2020;Jan;Sun;01/26/2020
43854;2020;Jan;Fri;01/24/2020
43997;2020;Jun;Mon;06/15/2020
43929;2020;Apr;Wed;04/08/2020
44082;2020;Sep;Tue;09/08/2020
44153;2020;Nov;Wed;11/18/2020
44228;2021;Feb;Mon;02/01/2021
44170;2020;Dez;Sat;12/05/2020
43960;2020;May;Sat;05/09/2020
44280;2021;Mar;Thu;03/25/2021
44225;2021;Jan;Fri;01/29/2021
44213;2021;Jan;Sun;01/17/2021
44329;2021;May;Thu;05/13/2021
44074;2020;Aug;Mon;08/31/2020
43831;2020;Jan;Wed;01/01/2020
44000;2020;Jun;Thu;06/18/2020
44103;2020;Sep;Tue;09/29/2020
44166;2020;Dez;Tue;12/01/2020
44107;2020;Oct;Sat;10/03/2020
44043;2020;Jul;Fri;07/31/2020
44383;2021;Jul;Tue;07/06/2021
44345;2021;May;Sat;05/29/2021
44216;2021;Jan;Wed;01/20/2021
44277;2021;Mar;Mon;03/22/2021
44062;2020;Aug;Wed;08/19/2020
43865;2020;Feb;Tue;02/04/2020
44381;2021;Jul;Sun;07/04/2021
44217;2021;Jan;Thu;01/21/2021
43998;2020;Jun;Tue;06/16/2020
44394;2021;Jul;Sat;07/17/2021
44025;2020;Jul;Mon;07/13/2020
43883;2020;Feb;Sat;02/22/2020
44364;2021;Jun;Thu;06/17/2021
44072;2020;Aug;Sat;08/29/2020
44159;2020;Nov;Tue;11/24/2020
